0	0	6694	181	181	
12300	0.00123	6674	6	4	6	155	155	16	
12400	0.00124	6674	6	4	6	155	155	16	
12500	0.00125	6674	6	4	6	155	155	16	
12600	0.00126	6674	6	4	6	155	155	16	
12700	0.00127	6674	6	4	6	155	155	16	
12800	0.00128	6674	6	4	6	155	155	16	
12900	0.00129	6674	6	4	6	155	155	16	
13000	0.0013	6674	6	4	6	155	155	16	
13100	0.00131	6674	6	4	6	155	155	16	
13200	0.00132	6674	6	4	6	155	155	16	
13300	0.00133	6674	6	4	6	155	155	16	
13400	0.00134	6674	6	4	6	155	155	16	
13500	0.00135	6674	6	4	6	155	155	16	
13600	0.00136	6674	6	4	6	155	155	16	
13700	0.00137	6674	6	4	6	155	155	16	
13800	0.00138	6674	6	4	6	155	155	16	
13900	0.00139	6674	6	4	6	155	155	16	
14000	0.0014	6674	6	4	6	155	155	16	
14100	0.00141	6674	6	4	6	155	155	16	
14200	0.00142	6674	6	4	6	155	155	16	
14300	0.00143	6674	6	4	6	155	155	16	
14400	0.00144	6674	6	4	6	155	155	16	
14500	0.00145	6674	6	4	6	155	155	16	
14600	0.00146	6674	6	4	6	155	155	16	
14700	0.00147	6674	6	4	6	154	154	17	
14800	0.00148	6674	6	4	6	154	154	17	
14900	0.00149	6674	6	4	6	154	154	17	
15000	0.0015	6674	6	4	6	154	154	17	
15100	0.00151	6674	6	4	6	154	154	17	
15200	0.00152	6674	6	4	6	153	153	18	
15300	0.00153	6674	6	4	6	152	152	19	
15400	0.00154	6674	152	5	5	5	152	19	
15500	0.00155	6674	152	5	5	5	152	19	
15600	0.00156	6673	152	5	5	6	151	19	
15700	0.00157	6672	152	5	5	7	150	19	
15800	0.00158	6672	152	5	5	7	150	19	
15900	0.00159	6672	152	5	5	7	150	19	
16000	0.0016	6672	152	5	5	7	150	19	
16100	0.00161	6672	151	5	5	7	149	20	
16200	0.00162	6672	151	5	5	7	149	20	
16300	0.00163	6671	151	4	6	7	148	20	
16400	0.00164	6671	151	4	6	7	148	20	
16500	0.00165	6671	151	4	6	7	148	20	
16600	0.00166	6671	151	4	6	7	148	20	
16700	0.00167	6671	151	4	6	7	148	20	
16800	0.00168	6671	151	4	6	7	148	20	
16900	0.00169	6671	151	4	6	7	148	20	
17000	0.0017	6671	151	4	6	7	148	20	
17100	0.00171	6671	151	4	6	7	148	20	
17200	0.00172	6671	151	4	6	7	148	20	
17300	0.00173	6671	151	4	6	7	148	20	
17400	0.00174	6671	151	4	6	7	148	20	
17500	0.00175	6671	151	4	6	7	148	20	
17600	0.00176	6670	5	150	6	7	148	20	
17700	0.00177	6670	5	148	6	7	146	22	
17800	0.00178	6670	5	148	6	7	146	22	
17900	0.00179	6670	5	148	6	7	146	22	
18000	0.0018	6670	5	148	6	7	146	22	
18100	0.00181	6670	5	148	6	7	146	22	
18200	0.00182	6670	5	148	6	7	146	22	
18300	0.00183	6670	5	148	6	7	146	22	
18400	0.00184	6670	5	148	6	7	146	22	
18500	0.00185	6670	5	148	6	7	146	22	
18600	0.00186	6670	5	148	6	7	146	22	
18700	0.00187	6670	5	148	6	7	146	22	
18800	0.00188	6670	5	148	6	7	146	22	
18900	0.00189	6670	5	148	6	7	146	22	
19000	0.0019	6670	5	148	6	7	146	22	
19100	0.00191	6670	5	148	6	7	146	22	
19200	0.00192	6670	5	147	6	7	145	23	
19300	0.00193	6670	5	147	6	7	145	23	
19400	0.00194	6670	5	147	6	7	145	23	
19500	0.00195	6670	5	147	6	7	145	23	
19600	0.00196	6670	5	147	6	7	145	23	
19700	0.00197	6670	5	147	6	7	145	23	
19800	0.00198	6670	5	147	6	7	145	23	
19900	0.00199	6670	5	146	6	7	144	24	
20000	0.002	6670	5	146	6	7	144	24	
20100	0.00201	6670	5	146	6	7	144	24	
20200	0.00202	6670	5	146	6	7	144	24	
20300	0.00203	6670	5	146	6	7	144	24	
20400	0.00204	6670	5	146	6	7	144	24	
20500	0.00205	6670	5	146	6	7	144	24	
20600	0.00206	6670	5	146	6	7	144	24	
20700	0.00207	6670	5	146	6	7	144	24	
20800	0.00208	6670	5	145	6	7	143	25	
20900	0.00209	6670	5	145	6	7	143	25	
21000	0.0021	6670	5	145	6	7	143	25	
21100	0.00211	6670	5	145	6	7	143	25	
21200	0.00212	6670	5	145	6	7	143	25	
21300	0.00213	6670	5	145	6	7	143	25	
21400	0.00214	6670	5	144	6	7	142	26	
21500	0.00215	6670	5	144	6	7	142	26	
21600	0.00216	6670	5	144	6	7	142	26	
21700	0.00217	6669	5	144	6	7	1	142	25	
21800	0.00218	6669	5	144	6	7	1	142	25	
21900	0.00219	6669	5	143	6	7	1	141	26	
22000	0.0022	6668	5	143	6	8	1	140	26	
22100	0.00221	6668	5	143	6	8	1	140	26	
22200	0.00222	6668	5	143	6	8	1	140	26	
22300	0.00223	6668	5	143	6	8	1	140	26	
22400	0.00224	6668	5	143	6	8	1	140	26	
22500	0.00225	6668	5	143	6	8	1	140	26	
22600	0.00226	6668	5	143	6	8	1	140	26	
22700	0.00227	6668	5	143	6	8	1	140	26	
22800	0.00228	6668	5	143	6	8	1	140	26	
22900	0.00229	6668	5	143	6	8	1	140	26	
23000	0.0023	6667	5	143	7	8	140	26	
23100	0.00231	6667	5	142	7	8	139	27	
23200	0.00232	6667	5	142	7	8	139	27	
23300	0.00233	6667	5	142	7	8	139	27	
23400	0.00234	6667	5	142	7	8	139	27	
23500	0.00235	6667	5	142	7	8	139	27	
23600	0.00236	6667	5	142	7	8	139	27	
23700	0.00237	6667	5	142	7	8	139	27	
23800	0.00238	6667	5	142	7	8	139	27	
23900	0.00239	6667	5	142	7	8	139	27	
24000	0.0024	6667	5	142	7	8	139	27	
24100	0.00241	6667	5	141	7	7	1	139	27	
24200	0.00242	6667	5	141	7	7	1	139	27	
24300	0.00243	6666	5	141	7	8	1	138	27	
24400	0.00244	6666	5	141	7	8	1	138	27	
24500	0.00245	6666	5	141	7	8	1	138	27	
24600	0.00246	6666	5	141	7	8	1	138	27	
